Restaurant,Address
Le Bagatelle,"2000 K ST NW, Washington DC"
Cantina d'Italia,"1214A 18th Street NW, Washington DC"
Chalet de la Paix,"4506 Lee Highway, Arlington, VA"
Charcuterie Normande,"3155 Wilson Blvd., Arlington, VA"
Crisfield,"8012 Georgia Avenue, Silver Spring, MD"
Duke Zeibert's,"1722 L Street NW, Washington DC"
L'Escargot,"3309 Connecticut Avenue NW, Washington DC"
Golden Palace,"726 7th Street NW, Washington DC"
Jean-Pierre,"1835 K ST NW, Washington DC"
Mikado,"4707 Wisconsin Avenue NW, Washington DC"
Nathan's,"3150 M ST NW, Washington DC"
Old Europe,"2434 Wisconsin Avenue NW, Washington DC"
The Palm,"1225 19th St NW, Washington, DC"
Peking Downtown,"711 13th Street NW, Washington DC"
Pines of Rome,"4709 Hampden Ln, Bethesda, MD"
Portofino,"526 23rd Street, Arlington, VA"
Le Provencal,"1234 20th ST NW, Washington DC"
El Rio Grande,"11921 Rockville Pike, Rockville, MD"
La Rive Gauche,"Wisconsin Avenue and M Street, NW, Washington DC"
Tiberio,"1915 K Street NW, Washington, DC"
Apana,"3066 M Street NW, Washington DC"
August Moon,"10579 Lee Highway, Fairfax, VA"
Calvert Cafe,"1967 Calvert ST NW, Washington DC"
El Caribe,"1828 Columbia Rd., NW, Washington DC"
Chez Andree,"10 E Glebe Rd, Alexandria, VA"
Chez Camille,"1737 DeSales ST NW, Washington DC"
China Gate,"310 N Fairfax St, Alexandria, VA"
Csikos,"3601 Connecticut Avenue NW, Washington DC"
Firenze,"5400 Pooks Hill Rd, Bethesda, MD"
Hu Yuan,"3211 North Washington Boulevard, Arlington, VA"
Imperial Gardens,"1961 Chain Bridge Rd, Tysons, VA"
Italianissimo,"2900 Columbia Pike, Arlington, VA"
Japan Inns,"1715 Wisconsin Avenue NW, Washington DC"
Maharaja,"1639 Wisconsin Avenue NW, Washington DC"
Omega,"1856 Columbia Road NW, Washington DC"
L'Orangerie,"1329 Connecticut Avenue NW, Washington DC"
Piccadilly,"5510 Connecticut Ave NW, Washington DC"
Roy's Place,"2 E Diamond Ave, Gaithersburg, MD"
Ruby,"609 H St NW, Washington, DC"
Rudy's,"6813 Redmond Dr, McLean, VA"
Sans Rival,"1311 Lamberton Dr, Silver Spring, MD"
Sans Souci,"726 17th ST NW, Washington DC"
Shanghai,"5157 Lee Highway, Arlington VA"
Le Steak,"3060 M Street NW, Washington DC"
Szechuan Garden,"7945 Tuckerman Ln, Potomac, MD"
Szechuan-Hunan Taste,"1431 Center St, McLean, VA "
Taverna Cretekou,"818 King St, Alexandria, VA "
Thai Room,"5037 Connecticut Avenue NW, Washington DC"
Trader Vic's,"16th and K Streets NW, Washington DC"
Paul Young's,"1120 Connecticut Avenue NW, Washington DC"
