Name,Address,Cuisine
Adirondacks,"50 Massachusetts Ave., NE, DC",American
Aditi,"3299 M St., NW, DC",Indian
Andalucia,"12300 Wilkins Ave., Rockville, MD",Spanish
Austin Grill,"2404 Wisconsin Ave., NW, DC",Tex-Mex
Bacchus,"1827 Jefferson Pl., NW, DC",Lebanese
Bacchus-Bethesda,"7945 Norfolk Ave., Bethesda, MD",Lebanese
Bice,"601 Penssylvania Ave., NW, DC",Italian
Bistro Francais,"3128 M St., NW, DC",French
Bombay Palace,"1835 K St., NW, DC",Indian
Cafe Atlantico,"1819 Columbia Rd., NW, DC",Caribbean
Cafe Normandie,"185 Main St., Annapolis, MD",French
Cambodian Restaurant,"1727 Wilson Blvd., Arlington, VA",Cambodian
Carmack's,"8401 Connecticut Ave., Chevy Chase, MD",American
China Inn,"631 H Street, NW, DC",Chinese
Crisfield,"8012 Georgia Ave., Chevy Chase, MD",Seafood
Crisfield at Lee Plaza,"8606 Colesville Rd., Silver Spring, MD",Seafood
Dinning Room ,"1250 S Hayes St, Arlington, VA ",Modern French
Donna Adele,"2100 P St., NW, DC",Italian
Duangrat's,"5878 Leesburg Pike, Falls Church, VA ",Thai
Dusit,"2404 University Blvd. West, Silver Spring, MD",Thai
Fellini's,"7400 Wisconsin Ave, Bethesda, MD",Italian
Fortune,"5900 Leesburg Pike, Falls Church, VA ",Chinese
Galileo,"1110 21st St., NW, DC",Italian
Gas Light,"100 King St, Alexandria, VA ",Modern American
Good Fortune,"2646 University Blvd. West, Silver Spring, MD",Chinese
Haandi,"1222 W. Broad St., Falls Church, VA",Indian
Hunan Chinatown,"624 H St., NW, DC",Chinese
I Matti,"2436 18th St., NW, DC",Italian
Inn At Little Washington,"309 Middle St, Washington, VA",Modern American
I Ricchi,"1220 19th St., NW, DC",Italian
Japan Inn,"1715 Wisconsin Ave., NW, DC",Japanese
Jean-Louis,"2650 Virginia Ave., NW, DC",Modern French
Kabul West,"4871 Cordell Ave., Bethesda, MD",Afghan
La Bergerie,"218 N. Lee St., Alexandria, VA",French
La Chaumiere,"2813 M St., NW, DC",French
La Colline,"400 North Capitol St., NW, DC",French
La Ferme,"7101 Brookville Rd., Chevy Chase, MD",French
La Miche,"7905 Norfolk Ave., Bethesda, MD",French
Las Pampas,"3291 M St., NW, DC",Argentine
L'Auberge Chez Francois,"332 Springvale Rd., Great Falls, VA",French
Lavandou,"3321 Connecticut Ave., NW, DC",Provencal
Lebanese Taverna,"2641 Connecticut Ave., NW, DC",Lebanese
Le Caprice,"2348 Wisconsin Ave., NW, DC",French
Le Chef D'Oeuvre,"5872 Leesburg Pike, Falls Church, VA ",French/Thai
Le Gaulois,"1106 King St., Alexandria, MD",French
Le Lion D'Or,"1150 Connecticut Ave., NW, DC",French
Le Refuge,"127 N. Washington St., Alexandria, VA",French
Le Restaurant in Bethesda,"7820 Norfolk Ave., Bethesda, MD",French
Lucie,"2015 Massachusetts Ave., NW, Washington DC",Modern American
Madurai,"3318 M ST NW, Washington DC",Indian Vegetarian
Matuba,"2915 Columbia Pike, Arlington, VA",Japanese
Matuba-Bethesda,"4918 Cordell Ave., Bethesda, MD",Japanese
Meskerem,"2434 18th St., NW, DC",Ethiopian
Morton's of Chicago,"3251 Prospect St., NW, DC",American
Morton's-Tysons,"8075 Leesburg Pike, Tysons, VA",American
Nizam's,"523 Maple Ave W, Vienna, VA",Turkish
Notte Luna,"809 15th St., NW, DC",California Italian
