Restaurants,Location,Style
Sushi Sono,"10215 Wincopin Cir, Columbia, MD",Sushi
Sushi Taro,"1503 17th St., NW, Washington DC",Sushi
Tallula,"2761 Washington Blvd., Arlington, VA",Modern American
Tosca,"1112 F St., NW, Washington DC",Italian
Trummer’s on Main,"7134 Main St, Clifton, VA",Modern American
2 Amys,"3715 Macomb St., NW, Washington DC",Italian/pizza
Vermilion,"1120 King St., Alexandria, VA",Modern American
Vidalia [10],"1990 M St., NW, Washington DC",Modern American/Southern
Volt,"228 N Market St, Frederick, MD",Modern American
Woodberry Kitchen,"2010 Clipper Park Rd, Baltimore, MD",American
Zaytinya,"701 Ninth St., NW, Washington DC",Greek/Lebanese/Turkish
