Name,Address,Cuisine
L'Auberge Chez Francois,"332 Springvale Road, Great Falls, VA ",French
Cantina d'Italia,"1214 18th Street, NW, DC",Italian
El Caribe,"1828 Columbia Road, NW, DC",Latin American
El Caribe-Georgetown,"3288 M Street, NW, DC",Latin American
China Inn,"631 H Street, NW, DC",Chinese
Crisfield,"8012 Georgia Avenue, Silver Spring, MD",Seafood
Le Gaulois,"2133 Pennsylvania Avenue, NW, DC",French
Le Lion d'Or,"1150 Connecticut Avenue, NW, DC",French
Mel Krupin's,"1120 Connecticut Avenue, NW, DC",American
Szechuan,"615 I Street, Northwest, DC",Chinese
Tandoor,"3316 M Street, Northwest, DC",Indian
Vincenzo,"1606 20th Street, NW, DC",Italian
Apana,"3066 M Street, NW, DC",Indian
A.V. Ristorante,"607 New York Avenue, NW, DC",Italian
Le Bagatelle,"2000 K Street, Northwest, DC",French
Bamiyan,"3320 M Street, Northwest, DC",Afghan
Bamiyan II,"300 King Street, Alexandria, VA",Afghan
La Bergerie,"218 North Lee Street, Alexandria, VA",French
The Bread Oven,"1220 19th Street, NW, DC",French
Cafe de Ipanema,"1524 Wisconsin Ave., NW, DC",Brazilian
Calvert Cafe,"1967 Calvert Street, Northwest, DC",Middle Eastern
La Casita of Capitol Hill,"723 8th Street, Southeast, DC",Mexican
La Chaumiere,"2813 M Street, Northwest, DC",French
La Colline,"400 North Capitol Street, NW, DC",French
Duck Chang's,"4427 John Marr Drive, Annandale, VA ",Chinese
Enriqueta's,"2811 M Street, Northwest, DC",Mexican
Gary's ,"1800 M Street, Northwest",American
Geranio,"724 King Street, Alexandria, VA",Italian
House of Chinese Gourmet,"1485 Rockville Pike, Rockville, MD",Chinese
Hunan Garden,"2104 Viers Mill Road, Rockville, MD",Chinese
Japan Inn,"1715 Wisconsin Avenue, Northwest, DC",Japanese
Katmandu,"1800 Connecticut Aveue, Northwest, DC",Nepali/Kashmiri
Kazan,"6813 Redmond Drive, McLean, VA",Middle Eastern
Madurai,"3318 M Street, Northwest, DC",Indian
Misty Harbor,"184 Rollins Avenue, Rockville, MD",Seafood
O'Brien's Pit Barbecue ,"1314 Gude Drive, Rockville, MD",Barbecue
O'Brien's Pit-Bethesda,"7305 Waverly Street, Bethesda, MD",Barbecue
Old Europe,"2434 Wisconsin Avenue, Northwest, DC",German
Omega,"1858 Columbia Road, Northwest, DC",Latin American
Las Pampas,"3291 M Street, Northwest, DC",Argentine
Place Vendome,"Wisconsin Avenue and M Street, Northwest",French
The Prime Rib,"2020 K Street, Northwest, DC",American
Red Sea,"2463 18th Street, Northwest, DC",Ethiopian
Sakura Palace,"7926 Georgia Avenue, Silver Spring, MD",Japanese
Sushi-Ko,"2309 Wisconsin Avenue, Northwest, DC",Japanese
Thai Room,"5037 Connecticut Avenue, Northwest, DC",Thai
Torremolinos,"2014 P Street, Northwest, DC",Spanish
Tung Bor,"11154 Georgia Avenue, Wheaton, MD",Chinese
Viet Chateau,"2637 Connecticut Avenue, Northwest, DC",Vietnamese
Vietnam-Georgetown ,"2934 M Street, Northwest, DC",Vietnamese
