Name,Address,Cuisine
Adirondacks,"50 Massachusetts Ave., NE, Washington DC",American
Austin Grill,"2404 Wisconsin Ave., NW, DC",Tex-Mex
Bacchus,"1827 Jefferson PI., NW, DC",Lebanese
Bacchus-Bethesda,"7945 Norfolk Ave., Bethesda, MD",Lebanese
Bangkok Gourmet,"523 S. 23rd St., Arlington, VA",Thai
Bombay Palace,"1835 K St., NW, Washington DC",Indian
China Inn,"631 H St., NW, Washington DC",Chinese
Crisfield,"8012 Georgia Ave., Silver Spring, MD",Seafood
Crisfield II,"8606 Colesville Rd., Silver Spring, MD",Seafood
Dar Es Salam,"3056 M St., NW, Washington DC",Moroccan
Diamond,"4000 Wisconsin Ave NW, Washington DC",Chinese
Duangrat's,"5878 Leesburg Pike, Falls Church, VA",Thai
Enriqueta's-Georgetown,"2811 M St., NW, Washington DC",Mexican
Fortune,"5900 Leesburg Pk., Falls Church, VA",Chinese
Galileo,"2014 P St., NW, Washington DC",Italian
Hisago,"3050 K St., NW, Washington DC",Japanese
Hunan Chinatown,"624 H ST NW, Washington DC",Chinese
i Ricchi,"1220 19th Street, Northwest, Washington DC",Italian
Japan Inn,"1715 Wisconsin Ave., NW, Washington DC",Japanese
Jean-Louis,"2650 Virginia Ave., NW, Washington DC",French
La Chaumiere,"2813 M St., NW, Washington DC",French
La Colline,"400 North Capitol St., NW, DC",French
Las Pampas,"3291 M St., NW, DC",Argentine
L'Auberge Chez Francois,"332 Springvale Rd., Great Falls, VA",French
Le Caprice,"2348 Wisconsin Ave., NW, DC",French
Le Gaulois,"2133 Pennsylvania Ave., NW, DC",French
Le Lion d'Or,"1150 Connecticut Ave., NW, DC",French
Le Pavillon,"1050 Connecticut Ave., NW, DC",French
Madurai,"3318 M St., NW, DC",Vegetarian
Meskerem,"2434 18th St., NW, DC",Ethiopian
Mixtec,"1792 Columbia Rd., NW, DC",Mexican
Morton's of Chicago,"3251 Prospect Street, NW, DC",American
Mr. Yung's,"740 6th St., NW, DC",Chinese
Nizam's,"523 Maple Ave. W., Vienna, VA",Turkish
Obelisk,"2029 P St., NW, DC",Italian
Occidental,"1475 Pennsylvania Ave., NW, DC",American
Occidental Grill,"1475 Pennsylvania Ave., NW, DC",American
Omega,"1858 Columbia Rd., NW, DC",Cuban
Prime Rib,"2020 K St., NW, DC",American
Queen Bee,"3181 Wilson Blvd., Arlington, VA",Vietnamese
Red Hot & Blue,"1600 Wilson Blvd., Arlington, VA",Barbecue
Rio Grande Cafe,"4919 Fairmont Ave., Bethesda, MD",Tex-Mex
Star of Siam,"1136 19th St., NW, DC",Thai
Sushi-Ko,"2309 Wisconsin Ave. NW, Washington DC",Japanese
Taberna del Alabardero,"1776 I St., NW, DC",Spanish
Tony Cheng's Mongolian Restaurant,"619 H St., NW, DC",Chinese
Twenty-One Federal,"1736 L ST NW, Washington DC",American
Vietnam Taste-Pho 79,"2007 Veirs Mill Rd., Rockville, MD",Vietnamese
Vincenzo,"1606 20th St., NW, DC",Italian
Zed's Ethiopian Cuisine,"3318 M St., NW, DC",Ethiopian
