Name,Address,Cuisine
Acadiana,"901 New York Ave., NW, Washington, DC",Southern
Adour,"923 16th St NW, Washington, DC",French
Amici Miei,"1093 Seven Locks Rd, Potomac, MD",Italian
Art and Soul,"415 New Jersey Ave., NW",Southern
Assaggi,"4838 Bethesda Ave., Bethesda, MD",Italian
Bastille,"1201 N. Royal St., Alexandria, VA",French
Bistro Bis,"15 E St NW, Washington, DC ",French
Bistro L’Hermitage,"12724 Occoquan Rd, Woodbridge, VA",French
Black Market Bistro,"4600 Waverly Ave, Garrett Park, MD",Modern American
BlackSalt,"4883 MacArthur Blvd NW, Washington, DC",Modern American/seafood
Black’s Bar and Kitchen,"7750 Woodmont Ave., Bethesda, MD",Modern American
BLT Steak,"1625 I St., NW, Washington, DC",Modern American/steak
Blue Duck Tavern,"1201 24th St., NW, Washington, DC",Modern American
Bourbon Steak,"2800 Pennsylvania Ave NW, Washington, DC",Modern American
Brasserie Beck,"1101 K St., NW, Washington, DC",Belgian
Buck’s Fishing and Camping,"5031 Connecticut Ave., NW, Washington, DC",Modern American
Café Atlántico,"405 Eighth St., NW, Washington, DC",Nuevo Latino
Café du Parc,"1401 Pennsylvania Ave., NW, Washington, DC",French
Cashion’s Eat Place,"1819 Columbia Rd., NW, Washington, DC",Modern American
Central Michel Richard,"1001 Pennsylvania Ave., NW, Washington, DC",American/French
Charlie Palmer Steak,"101 Constitution Ave., NW, Washington, DC",Modern American/steak
Circle Bistro,"1 Washington Cir., NW, Washington, DC",Modern American
Citronelle,"3000 M St NW, Washington, DC 20007",French
CityZen,"1330 Maryland Ave SW, Washington, DC",Modern American
Comet Ping Pong,"5037 Connecticut Ave NW, Washington, DC",Pizza
Corduroy,"1122 Ninth St., NW, Washington, DC",Modern American
Cork,"1720 14th St., NW, Washington, DC",Wine bar/small plates
DC Coast,"1401 K St., NW, Washington, DC",Modern American/seafood
Dino,"3435 Connecticut Ave., NW, Washington, DC",Italian
Equinox,"818 Connecticut Ave., NW, Washington, DC",Modern American
Etete,"1942 Ninth St., NW, Washington, DC",Ethiopian
Farrah Olivia,"600 Franklin St., Alexandria, VA",Modern American
Faryab,"4917 Cordell Ave., Bethesda, MD",Afghan
Founding Farmers,"1924 Pennsylvania Ave., NW, Washington, DC",American
Four Sisters,"8190 Strawberry Lane, Suite 1. Falls Church, Virginia",Vietnamese
Grapeseed,"4865 Cordell Ave., Bethesda, MD",Modern American
Hank’s Oyster Bar,"1624 Q St NW, Washington, DC",Seafood
Hollywood East Cafe on the Boulevard,"2621 University Blvd W, Silver Spring, MD",Chinese/dim sum
Hook,"3241 M St NW, Washington, DC",Modern American/seafood
Indique Heights,"2 Wisconsin Cir, Chevy Chase, MD",Indian
Inn at Little Washington,"309 Middle St, Washington, VA",Modern American
Jackie’s,"8081 Georgia Ave, Silver Spring, MD",American
Jackson’s Mighty Fine Food,"11927 Democracy Dr, Reston, VA ",American
Jaleo,"480 Seventh St., NW, Washington, DC",Spanish
Johnny’s Half Shell,"400 N. Capitol St., NW, Washington, DC",Seafood
Kaz Sushi Bistro,"1915 I St., NW, Washington, DC",Japanese
Kinkead’s,"2000 Pennsylvania Ave., NW, Washington, DC",Modern American/seafood
Komi,"1509 17th St., NW, Washington, DC",Modern American/Mediterranean
Kotobuki,"4822 MacArthur Blvd NW, Washington, DC",Japanese
