Name,Address,Cuisine
Apana,"3066 M Street, NW, DC",Indian
L'Auberge Chez Francois,"332 Springvale Road, Great Falls, VA ",French
A.V. Ristorante,"607 New York Avenue, NW, DC",Italian
Bacchus,"1827 Jefferson PL., NW, DC",Middle Eastern
Le Bagatelle,"2000 K Street, Northwest, DC",French
Bamiyan,"3320 M Street, Northwest, DC",Afghan
Bamiyan II,"300 King Street, Alexandria, VA",Afghan
La Bergerie,"218 North Lee Street, Alexandria, VA",French
The Bread Oven,"1220 19th Street, NW, DC",French
Cantina d'Italia,"1214 18th Street, NW, DC",Italian
El Caribe,"1828 Columbia Road, NW, DC",Latin American
El Caribe-Georgetown,"3288 M Street, NW, DC",Latin American
La Casita of Capitol Hill,"723 8th Street, Southeast, DC",Mexican
La Chaumiere,"2813 M Street, Northwest, DC",French
China Inn,"631 H Street, NW, DC",Chinese
La Colline,"400 North Capitol Street, NW, DC",French
Crisfield,"8012 Georgia Avenue, Silver Spring, MD",Seafood
Duck Chang's,"4427 John Marr Drive, Annandale, VA ",Chinese
Enriqueta's,"2811 M Street, Northwest, DC",Mexican
Gary's,"1800 M Street, Northwest, Washington DC",American
Le Gaulois,"2133 Pennsylvania Ave NW, Washington DC",French
Geranio,"722 King Street, Alexandria, VA",Italian
House of Chinese Gourmet,"1485 Rockville Pike, Rockville, MD",Chinese
Japan Inn,"1715 Wisconsin Avenue, Northwest, DC",Japanese
Katmandu,"1800 Connecticut Aveue, Northwest, DC",Nepali/Kashmiri
Kazan,"6813 Redmond Drive, McLean, VA",Middle Eastern
Kowloon,"807-809 7th ST NW, Washington DC",Chinese
Le Lion d'Or,"1150 Connecticut Ave., NW, DC",French
Madurai,"3318 M Street, Northwest, DC",Indian
Mel Krupin's,"1120 Connecticut Avenue, NW, DC",American
Misty Harbor,"184 Rollins Avenue, Rockville, MD",Seafood
Morton's of Chicago,"3251 Prospect St., NW, Washington, DC",American 
Nizam's,"523 Maple Ave. W., Vienna, VA",Turkish
O'Brien's Pit Barbecue ,"1314 Gude Drive, Rockville, MD",Barbecue
O'Brien's Pit-Bethesda,"7305 Waverly Street, Bethesda, MD",Barbecue
Old Europe,"2434 Wisconsin Avenue, Northwest, DC",German
Omega,"1858 Columbia Road, Northwest, DC",Latin American
Las Pampas,"3291 M Street, Northwest, DC",Argentine
Le Pavillon,"1050 Connecticut Ave NW, Washington, DC",French
The Prime Rib,"2020 K Street, Northwest, DC",American
Red Sea,"2463 18th Street, Northwest, DC",Ethiopian
Sakura Palace,"7926 Georgia Avenue, Silver Spring, MD",Japanese
Sushi-Ko,"2309 Wisconsin Avenue, Northwest, DC",Japanese
Szechuan,"615 I Street, Northwest, DC",Chinese
Tandoor,"3316 M Street, Northwest, DC",Indian
Thai Room,"5037 Connecticut Avenue, Northwest, DC",Thai
Torremolinos,"2014 P Street, Northwest, DC",Spanish
Viet Chateau,"2637 Connecticut Avenue, Northwest, DC",Vietnamese
Vietnam-Georgetown,"2934 M Street, Northwest, DC",Vietnamese
Vincenzo,"1606 20th Street, NW, DC",Italian
