Restaurant,Address,Cuisine
Alegria,"111 Church St., NW, Vienna, VA",Mexican
Ardeo & Bardeo,"3311 Connecticut Ave., NW, Washington, DC",American
Ayse,"6 N. East St., Frederick, MD",Greek/Lebanese/Turkish
Baby Wale,"1124 Ninth St., NW, Washington, DC",American
Bangkok Golden,"6395 Seven Corners Center, Falls Church, VA",Thai/Laotian
Bartlett Pear Inn [25],"28 S. Harrison St., Easton, MD",Modern American
Bastille,"1201 N. Royal St., Alexandria, VA",French
Birch & Barley,"1337 14th St., NW, Washington DC",Modern American
BlackSalt,"4883 MacArthur Blvd., NW, Washington DC",American/seafood
Black’s Bar & Kitchen,"7750 Woodmont Ave., Bethesda, MD",American
BLT Steak,"1625 I St., NW, Washington, DC",American/steak
Blue Duck Tavern [7],"Park Hyatt, 1201 24th St., NW, Washington, DC",American
The Bombay Club [10],"815 Connecticut Ave., NW, Washington, DC",Indian
Bonchon,"2209-E N. Pershing Dr., Arlington, VA",Fried chicken
Boqueria,"1837 M St., NW, Washington, DC",Spanish
Bourbon Steak,"Four Seasons Hotel, 2800 Pennsylvania Ave., NW, Washington, DC",Modern American/steak
Brabo by Robert Wiedmaier,"Lorien Hotel, 1600 King St., Alexandria, VA",American/Belgian
Casa Luca,"1099 New York Ave., NW, Washington, DC",Italian
Cashion’s Eat Place,"1819 Columbia Rd., NW, Washington, DC",American
Cava Mezze,"527 8th St SE, Washington, DC",Greek
Cava Mezze-2,"2940 Clarendon Blvd, Arlington, VA",Greek
Cava Mezze-3,"9713 Traville Gateway Dr, Rockville, MD",Greek
Central Michel Richard [9],"1001 Pennsylvania Ave., NW, Washington, DC",American/French
CityZen [4],"Mandarin Oriental, 1330 Maryland Ave., SW, Washington, DC",Modern American
Corduroy [16],"1122 Ninth St., NW, Washington, DC",Modern American
Cork,"1720 14th St., NW, Washington, DC",American/wine bar
Daikaya,"705 Sixth St., NW, Washington, DC",Japanese/ramen
Del Campo,"777 I St., NW, Washington, DC",South American/steak
DGS Delicatessen,"1317 Connecticut Ave., NW, Washington, DC",Jewish deli
Doi Moi,"1800 14th St., NW, Washington, DC",Thai/Vietnamese
8407 Kitchen Bar,"8407 Ramsey Ave., Silver Spring, MD",American
Estadio [23],"1520 14th St., NW, Washington, DC",Spanish
Ethiopic,"401 H St., NE, Washington, DC",Ethiopian
Etto,"1541 14th St., NW, Washington, DC",Italian/pizza
Et Voila!,"5120 MacArthur Blvd., NW, Washington, DC",Belgian/French
Fiola [13],"601 Pennsylvania Ave., NW, Washington, DC",Italian
Food Wine & Co.,"7272 Wisconsin Ave., Bethesda, MD",American
G by Mike Isabella,"2201 14th St., NW, Washington, DC",Italian/sandwiches
Graffiato,"707 Sixth St., NW, Washington, DC",Italian/pizza
Hank’s Oyster Bar,"1624 Q St NW, Washington, DC","American, Seafood"
Hank’s Oyster Bar-2,"633 Pennsylvania Ave SE, Washington, DC ","American, Seafood"
Hank’s Oyster Bar-3,"1026 King St, Alexandria, VA ","American, Seafood"
The Inn at Little Washington [1],"309 Middle St., Washington, Va.",Modern American
Izakaya Seki [20],"1117 V St., NW, Washington, DC",Japanese/sushi
Jaleo [15],"480 Seventh St., NW, Washington, DC",Spanish
Johnny’s Half Shell,"400 N. Capitol St., NW, Washington, DC",American/seafood
Kapnos,"2201 14th St., NW, Washington, DC",Greek
Kaz Sushi Bistro,"1915 I St., NW, Washington, DC",Japanese/sushi
Kogiya,"4220 Annandale Rd., Annandale, VA",Korean
Komi [3],"1509 17th St., NW, Washington, DC",Modern American
La Limeña,"765-B Rockville Pike, Rockville, MD",Peruvian
La Table Provencale,"13630 Lord Fairfax Hwy., White Post, Va.",Modern American
L’Auberge Chez François/Jacques’ Brasserie,"332 Springvale Rd., Great Falls, VA",French
Le Diplomate,"1601 14th St., NW, Washington, DC",French
Liberty Tavern,"3195 Wilson Blvd., Arlington, VA",American
Little Serow [6],"1511 17th St., NW, Washington, DC",Thai
Lyon Hall,"3100 N. Washington Blvd., Arlington, VA",French/German
The Majestic,"911 King St., Alexandria, VA",American
Makoto,"4822 MacArthur Blvd., NW, Washington, DC",Japanese/sushi
Maple Ave Restaurant,"147 Maple Ave. W., Vienna, VA",Modern American
Marcel’s [5],"2401 Pennsylvania Ave., NW, Washington, DC",French
Minibar [2],"855 E St., NW, Washington, DC",Modern American
Mintwood Place [21],"1813 Columbia Rd., NW, Washington, DC",American/French
Montmartre,"327 Seventh St., SE, Washington, DC",French
Nava Thai,"11301 Fern St., Wheaton, MD",Thai
Nopa Kitchen & Bar,"800 F St., NW, Washington, DC",Modern American
Nostos,"8100 Boone Blvd., Vienna, VA",Greek
Obelisk,"2029 P St., NW, Washington, DC",Italian
The Oval Room,"800 Connecticut Ave., NW, Washington, DC",Modern American
Palena/Palena Cafe [17],"3529 Connecticut Ave., NW, Washington, DC",Modern American/Italian
Passage to India,"4931 Cordell Ave., Bethesda, MD",Indian
PassionFish,"11960 Democracy Dr., Reston, VA",Modern American/seafood
Pearl Dive Oyster Palace,"1612 14th St., NW, Washington, DC",American/seafood
Proof [8],"775 G St., NW, Washington, DC",Modern American
Rappahannock Oyster Bar,"Union Market, 1309 Fifth St., NE, Washington, DC",American/seafood
Rasika/Rasika West End [19],"1190 New Hampshire Ave NW, Washington, DC ",Indian
Rasika/Rasika West End [19]-2,"633 D St NW, Washington, DC",Indian
Ray’s the Steaks,"2300 Wilson Blvd., Arlington, VA",American/steaks
Ray’s to the Third,"1650 Wilson Blvd., Arlington, VA",American
The Red Hen [22],"1822 First St., NW, Washington, DC",Italian
Restaurant Eve [12],"110 S. Pitt St., Alexandria, VA",Modern American
Restaurant at Patowmack Farm,"42461 Lovettsville Rd., Lovettsville, Va.",Modern American
Rice Paper,"6775 Wilson Blvd., Falls Church, VA",Vietnamese
Ripple,"3417 Connecticut Ave., NW, Washington, DC",Modern American
Ris,"2275 L St., NW, Washington, DC",American
Rogue 24,"922 N St., NW, Washington, DC",Modern American
Rose’s Luxury [11],"717 Eighth St., SE, Washington, DC",American
Ruan Thai,"11407 Amherst Ave., Wheaton, MD",Thai
Rus Uz,"1000 N. Randolph St., Arlington, VA",Russian/Uzbek
Seasonal Pantry [14],"1314½ Ninth St., NW, Washington, DC",Modern American
1789,"1226 36th St., NW, Washington, DC",Modern American
The Source,"575 Pennsylvania Ave., NW, Washington, DC",Pan-Asian
Sushi Sono,"10215 Wincopin Cir., Columbia, MD",Japanese/sushi
Sushi Taro,"1503 17th St., NW, Washington, DC",Japanese/sushi
Table,"903 N St., NW, Washington, DC",Modern American
Toki Underground,"1234 H St., NE, Washington, DC",Taiwanese/ramen
2941,"2941 Fairview Park Dr., Falls Church, VA",Modern American
2 Amys,"3715 Macomb St., NW, Washington, DC",Italian/pizza
Vermilion,"1120 King St., Alexandria, VA",Modern American
Vidalia,"1990 M St., NW, Washington, DC",Modern American/Southern
Vin 909 Winecafé,"909 Bay Ridge Ave., Annapolis, MD",American/pizza
Westend Bistro,"Ritz-Carlton, 1190 22nd St., NW, Washington, DC",Modern American
Woodberry Kitchen [18],"2010 Clipper Park Rd., Baltimore, MD",American
Woodward Table,"1426 H St., NW, Washington, DC",American
Zaytinya [24],"701 Ninth St., NW, Washington, DC",Greek/Lebanese/Turkish
