Name,Address,Cuisine
Aditi,"3299 M Street, Northwest, DC",Indian
Andalucia,"4931 Elm St., Bethesda, MD",Spanish
Andalucía-2,"12300 Wilkins Ave., Rockville, MD",Spanish
Austin Grill,"2404 Wisconsin Avenue NW, Washington DC",Tex-Mex
South Austin Grill,"801 King St, Alexandria, VA",Tex-Mex
Bacchus,"1827 Jefferson Place, NW, Washington, DC",Lebanese
Bacchus-Bethesda,"7945 Norfolk Ave., Bethesda, MD",Lebanese
Benjarong,"855-C Rockville Pike, Rockville, MD",Thai
Bice,"601 Pennsylvania Ave. NW, Washington DC",Italian
Bistro Bistro,"4021 S 28th ST, Arlington, VA",American
Bistro Francais,"3128 M ST NW, Washington DC",French
Bistro Lepic,"1736 Wisconsin Avenue NW, Washington DC",French
Blue Point Grill,"600 Franklin St., Alexandria, va",Seafood
Bombay Bistro,"98 W. Montgomery Avenue, Rockville, MD",Indian
Bombay Bistro,"3570 Chain Bridge Road, Fairfax, VA",Indian
Bombay Palace,"2020 K St., NW., Washington, DC",Indian
Cafe Bethesda,"5027 Wilson Lane Bethesda, MD.",Modern American
Cafe Bethesda-2,"121 Congressional La., Rockville, MD",Modern American
Cafe Milano,"3251 Prospect St., NW., Washington, DC",Italian
Cafe Normandie,"185 Main St, Annapolis, MD",Continental
Carlyle Grand Cafe,"4000 S. 28th St., Arlington, VA",Modern American
China Inn,"631 H St., NW, Washington, DC",Chinese
Citronelle,"3000 M St., NW, Washington, DC",Modern American
Coco Loco,"810 7th ST NW, Washington DC",Brazilian/Mexican
Crescent City,"1120 King Street, Alexandria, VA",Cajun
Crisfield,"8012 Georgia Ave., Silver Spring, MD",Seafood
Crisfield at Lee Plaza,"8606 Colesville Rd., Silver Spring, MD",Seafood
Duangrat's,"5878 Leesburg Pike, Falls Church, VA",Thai
Fortune,"5900 Leesburg Pike, Falls Church, VA ",Chinese
Four & Twenty Blackbirds,"650 Zachary Taylor Hwy, Flint Hill, VA",Modern American
Galileo,"1110 21st ST NW, Washington DC",Italian
Georgia Brown's,"950 15th ST NW, Washington DC",New Southern
