Name,Address
L'Auberge Chez Francois,"332 Springvale Road, Great Falls, VA"
Cantina d'Italia,"1214 18th Street, Northwest, DC"
El Caribe,"1828 Columbia Road, Northwest, DC"
El Caribe-Georgetown,"3288 M Street, Northwest, DC"
Crisfield,"8012 Georgia Avenue, Silver Spring, MD"
Le Gaulois,"2133 Pennsylvania Avenue, Northwest, DC"
Imperial Palace,"4515 Willard Avenue, Bethesda, MD"
Le Lion d'Or,"1150 Connecticut Ave NW, DC"
Mel Krupin's,"1120 Connecticut Avenue, NW, DC"
Le Pavillon,"1820 K Street, Northwest, Washington, DC"
Szechuan,"615 I Street, Northwest, Washington, DC"
Tandoor,"3316 M Street, Northwest, Washington, DC"
Vincenzo,"1606 20th Street, Northwest, Washington, DC"
Apana,"3066 M Street, Northwest, Washington, DC"
Arabian Nights,"2915 Connecticut Avenue NW, Washington DC"
A.V. Ristorante,"607 New York Avenue, NW, Washington, DC"
Le Bagatelle,"2000 K Street, Northwest, DC"
Bamiyan ,"3320 M Street, Northwest, DC"
Bamiyan II,"300 King Street, Alexandria, VA"
La Bergerie,"220 North Lee Street, Alexandria, VA"
Bistro Francais,"3124 M Street, Northwest, DC"
The Bread Oven,"1220 19th Street, Northwest, DC"
Cafe de Ipanema,"1524 Wisconsin Ave., NW, DC"
Calvert Cafe,"1967 Calvert Street, Northwest, DC"
La Casita of Capitol Hill,"723 8th Street, Southeast, Washington, DC"
La Chaumiere,"2813 M St NW, Washington, DC 20007"
China Inn,"631 H Street, Northwest, DC"
Duck Chang's,"4427 John Marr Dr, Annandale, VA"
Enriqueta's,"2811 M Street, Northwest, DC"
Gary's,"1800 M Street, Northwest"
Geranio,"724 King Street, Alexandria, VA"
Hunan Garden,"2104 Veirs Mill Rd, Rockville, MD"
Japan Inn,"1715 Wisconsin Avenue, Northwest, Washington, DC"
Katmandu,"1800 Connecticut Avenue, Northwest, Washington, DC"
Kazan,"6813 Redmond Drive, McLean, VA"
Misty Harbor,"184 Rollins Avenue, Rockville, MD"
O'Brien's Pit Barbecue,"1314 E Gude Dr, Rockville, MD"
Old Europe,"2434 Wisconsin Avenue, NW, DC"
Omega,"1858 Columbia Road, NW, DC"
Las Pampas,"3291 M Street, Northwest, DC"
Pines of Rome,"4709 Hampden Lane, Bethesda, MD"
The Prime Rib,"2020 K Street, Northwest, Washington, DC"
Red Sea,"2463 18th Street, Northwest, DC"
Sakura Palace,"7926 Georgia Avenue, Silver Spring, MD"
Samurai Sushiko,"2309 Wisconsin Avenue, Northwest, Washington, DC"
Thai Room,"5037 Connecticut Avenue, NW, Washington, DC"
Torremolinos,"2014 P Street, Northwest, Washington, DC"
Tung Bor,"11154 Georgia Avenue, Silver Spring, MD"
Vietnam-Georgetown,"2934 M Street, Northwest, Washington, DC"
Yenching Palace,"3524 Connecticut Ave NW, Washington, DC"
