Name,Address
Alpine,"4770 Lee Highway, Arlington, VA "
Carmack's,"4469 Connecticut Ave., NW, DC"
Cantina d'Italia,"1214-A 18th St., NW, DC"
Chez Camille,"1403 L St., NW, DC "
Chez Francois,"818 Connecticut Ave., NW, DC"
Cote d'Azur,"1721 Wisconsin Ave., NW, DC"
Country Squire,"Leesburg Pike & Patrick Henry Dr., Seven Corners. VA"
Don Pedro's Mexican Cantina,"10th & H St., NW, DC"
El Bodegon ,"1637 R St., NW, DC"
El Tio Pepe Restaurant,"2809 M St., NW, DC"
Empress Restaurant,"1018 Vermont Ave., NW, DC"
Evans Farm Inn,"5743 Chain Bridge Rd., NW, DC"
Flagship,"951 Maine Ave., SW, DC"
France's ,"1204-30th St., NW, DC"
GIGI,"3027 M St., NW, DC"
Jacqueline's ,"1921 Pennsylvania Ave., NW, DC"
Jockey Club,"2100 Massachusetts, Ave., NW, DC"
Knife and Fork,"1824 M St., NW, DC"
La Chatelaine,"Connecticut Ave. & Desales St., NW, DC"
La Fonda,"1659 R St., NW, DC"
Le Bistro,"1827 M St., NW, DC"
Le Provencal,"1234 20th St., NW., DC"
Montpelier Restaurant,"M St NW & 15th St NW, Washington, DC"
Maison des Crepes,"1305 Wisconsin Ave., NW, DC"
Old Europe,"2434 Wisconsin Ave., NW, DC"
Paul Young's,"1120 Connecticut Ave., NW. DC"
Peking Downtown,"711 13th St., NW, DC"
Peking Uptown,"5522 Connecticut Ave., NW, DC"
Place Vendome,"2300 Connecticut Ave., NW, DC"
Pouget's,"3309 Connecticut Ave., NW, DC"
Rive Gauche,"3200 M St., NW, DC"
Sans Souci,"726 17th St., NW, DC"
Swiss Chalet,"1026 6th St., NW, DC"
Trader Vic's ,"16th & K St., NW, DC"
Trieste,"2138 Pennsylvania Ave., NW, DC"
Watergate Terrace,"2650 Virginia Ave., NW, DC"
Yenching Palace,"3524 Connecticut Ave., NW, DC"
