Name,Address,Cuisine
L'Auberge Chez Francois,"332 Springvale Rd, Great Falls, VA",French
Bacchus,"1827 Jefferson PL., NW, DC",Lebanese
Bamiyan,"3220 M St., NW, Washington DC",Afghan
Bamiyan II,"300 King St., Alexandria, VA",Afghan
Bangkok Gourmet,"523 S. 23rd St., Arlington, VA",Thai
Bombay Palace,"1835 K St., NW, DC",Indian
Le Caprice,"2348 Wisconsin Ave., NW, DC",French
El Caribe,"1828 Columbia Rd., NW, DC",Latin American
El Caribe-Georgetown,"3288 M St., NW, DC",Latin American
Le Chardon d'Or,"116 S. Alfred St., Alexandria, VA",French
Le Chaumiere,"2813 M St., NW, DC",French
China Coral,"6900 Wisconsin Ave., Bethesda, MD",Chinese
China Inn,"631 H St., NW, DC",Chinese
La Colline,"400 N. Capito St., NW, DC",Seafood
Crisfield,"8012 Georgia Ave., Silver Spring, MD",Seafood
Enriqueta's-Georgetwon,"2811 M St., NW, DC",Mexican
Galileo,"2014 P St., NW, DC",Italian
Le Gaulois,"2133 Pennsylvania Ave., NW, DC",French
House of Chinese Gourmet,"1485 Rockville Ok., Rockville, MD",Chinese
Hunan Chinatown,"624 H St., NW, DC",Chinese
Japan Inn,"1715 Wisconsin Ave., NW, DC",Japanese
Katmandu,"1800 Connecticut Ave., NW, DC",French
Le Lion d'Or,"1150 Connecticut Ave., NW, DC",French
Madurai,"3318 M St., NW, DC",Vegetarian
Mei Krupin's,"1120 Connecticut Ave., NW, DC",American
Meskerem,"2434 18th St., NW, DC",Ethiopian
Mixtec,"1792 Columbia Rd., NW, DC",Mexican
Morton's of Chicago,"3251 Prospect St., NW, DC",American
New Orleans Emporium,"2477 18th St., NW, DC",Cajun
Nicholas,"1127 Connecticut Ave., NW, DC",Modern American
Nizam's,"523 Maple Ave. W., Vienna, VA",Turkish
O'Brien's Pit Barbecue,"1314 E. Gude Dr., Rockville, MD",Texas barbecue
O'Brien's-Bethesda,"7305 Waverly St., Bethesda, MD",Texas barbecue
O'Brien's-Springfield,"6820 Commerce St., Sprinfield, VA",Texas barbecue
Odeon Cafe,"1714 Connecticut Ave., NW, DC",Italian
Old Ebbitt Grill,"675 15th St., NW, DC",American
Omega,"1858 Columbia Rd., NW, DC",Cuban
Las Pampas,"3291 M St, NW, DC",French
Le Pavillon,"1050 Connecticut Ave., NW, DC",French
Prime Rib,"2020 K St., NW, DC",American 
Red Sea ,"2463 18th St., NW, DC",Ethiopian
Sakura Palace,"7926 Georgia Ave., Silver Spring, MD",Japanese
Sushi-Ko,"2309 Wisconsin Ave., NW, DC",Japanese
Szechuan ,"615 I St., NW, DC",Chinese
Szechuan Gallery,"617 H St., NW, DC",Chinese
Tandoor-Georgetown,"3316 M St., NW, DC",Indian
Thai Taste,"2606 Connecticut Ave., NW",Thai
Tony Cheng's Mogolian Restaurant,"619 H St., NW, DC",Chinese
Vietnam-Georgetown,"2934 M St., NW, DC",Vietnamese
Vincenzo,"1606 20th St., NW, DC",Italian seafood
