Restaurant,Address,Cuisine
Adour," St. Regis, 923 16th St., NW, DC",French
Al Dente," 3201 New Mexico Ave., NW, DC",Italian
Ardeo & Bardeo," 3311 Connecticut Ave., NW, DC",Modern American
The Ashby Inn & Restaurant," 692 Federal St., Paris, VA",Modern American
The Atlas Room," 1015 H St., NE",American
Bartlett Pear Inn," 28 S. Harrison St., Easton, MD",Modern American
Bibiana," 1100 New York Ave., NW, DC",Italian
Birch & Barley," 1337 14th St., NW, DC",American
Bistro Bis," Hotel George, 15 E St., NW, DC",French
Bistro Provence," 4933 Fairmont Ave., Bethesda, MD",French
Black Market Bistro," 4600 Waverly Ave., Garrett Park, MD",American
BlackSalt," 4883 MacArthur Blvd., NW, DC",Modern American/seafood
Black’s Bar & Kitchen," 7750 Woodmont Ave., Bethesda, MD",American
Blue Duck Tavern," Park Hyatt, 1201 24th St., NW, DC",American
The Bombay Club," 815 Connecticut Ave., NW, DC",Indian
Boqueria," 1837 M St., NW, DC",Spanish/small plates
Bourbon Steak," Four Seasons Hotel, 2800 Pennsylvania Ave., NW, DC",Modern American/steak
Brabo by Robert Wiedmaier," Lorien Hotel, 1600 King St., Alexandria, VA",American/Belgian
Brasserie Beck," 1101 K St., NW, DC",Belgian/French
Café du Parc," 1401 Pennsylvania Ave., NW, DC",French
Cashion’s Eat Place," 1819 Columbia Rd., NW, DC",American
Cava Mezze-3,"9713 Traville Gateway Dr, Rockville, MD",Greek/small plates
Cava Mezze,"527 8th St SE, Washington, DC",
Central Michel Richard," 1001 Pennsylvania Ave., NW, DC",American/French
Charlie Palmer Steak," 101 Constitution Ave., NW, DC",American/steak
CityZen ," Mandarin Oriental, 1330 Maryland Ave., SW, DC",Modern American
Corduroy," 1122 Ninth St., NW, DC",American
Cork," 1720 14th St., NW, DC",Modern American/wine bar
DC Coast," 1401 K St., NW, DC",American/seafood
DGS Delicatessen," 1317 Connecticut Ave., NW, DC",Jewish deli
8407 Kitchen Bar," 8407 Ramsey Ave., Silver Spring, MD",American
Eola," 2020 P St., NW, DC",Modern American
Estadio," 1520 14th St., NW, DC", Spanish/small plates
Ethiopic," 401 H St., NE, DC", Ethiopian
Et Voila!," 5120 MacArthur Blvd., NW, DC", Belgian/French
Fiola," 601 Pennsylvania Ave., NW, DC",Italian
Graffiato," 707 Sixth St., NW, DC",Italian
Green Pig Bistro," 1025 N. Fillmore St., Arlington, VA",American
Indique/Indique Heights,"3512-14 Connecticut Ave NW, Washington, DC",Indian
Indique/Indique Heights-2,"2 Wisconsin Cir # 202, Chevy Chase, MD",Indian
The Inn at Little Washington," 309 Middle St., Washington, VA",Modern American
Izakaya Seki," 1117 V St., NW, DC",Japanese/sushi
Jackie’s," 8081 Georgia Ave., Silver Spring, MD",American
Jaleo," 480 Seventh St., NW, DC",Spanish/small plates
J&G Steakhouse," W Hotel, 515 15th St., NW, DC",Modern American/steak
Johnny’s Half Shell," 400 N. Capitol St., NW, DC",American/seafood
Kaz Sushi Bistro," 1915 I St., NW, DC",Japanese/sushi
Komi," 1509 17th St., NW, DC",Mediterranean
