Restaurant,Address,Ranking,Cuisine
Sushiko,"5455 Wisconsin Ave., Chevy Chase, MD",85,Japanese/sushi
Sushi Sono,"10215 Wincopin Cir., Columbia, MD",44,Japanese/sushi
Sushi Taro,"1503 17th St., NW, Washington DC",46,Japanese/sushi
Table,"903 N St., NW, Washington DC",29,Modern American
Thai Taste by Kob,"11315 Fern St., Wheaton, Maryland",25,Thai
Tico,"1926 14th St., NW, Washington DC",80,South American
Toki Underground,"1234 H St., NE, Washington DC",66,Taiwanese/ramen
Trapezaria,"11 N. Washington St., Rockville, MD",76,Greek
2 Amys,"3715 Macomb St., NW, Washington DC",31,Italian/pizza
Vin 909 Winecafé,"909 Bay Ridge Ave., Annapolis, MD",10,American/pizza
Water & Wall,"3811 N. Fairfax Dr., Arlington, VA",54,Modern American
Westend Bistro,"Ritz-Carlton, 1190 22nd St., NW, Washington DC",96,American
Woodberry Kitchen,"2010 Clipper Park Rd., Baltimore, MD",21,American
Zaytinya,"701 Ninth St., NW, Washington DC",34,Greek/Lebanese/Turkish
