Name,Address,Cuisine
Addie's,"11120 Rockville Pike, Rockville, MD",Modern American
Andale,"401 Seventh St., NW, Washington DC",Mexican
Bistro Bis,"15 E St., NW, Washington DC",French
Bistrot Lafayette,"1118 King St, Alexandria, VA",French
Bistrot Lepic,"1736 Wisconsin Ave., NW, Washington DC",French
Black's Bar and Kitchen,"7750 Woodmont Ave., Bethesda, MD",Seafood
Blue Point Grill,"600 Franklin St., Alexandria, VA",Seafood
Bobby Van's Steakhouse,"809 15th St., NW, Washington DC",Steak
Bombay Bistro,"3570 Chain Bridge Rd., Fairfax, VA",Indian
Buon Giorno,"8003 Norfolk Ave., Bethesda, MD",Italian
Café Atlántico,"405 Eighth St., NW, Washington DC",Nuevo Latino
Café Milano,"3251 Prospect St., NW, Washington DC",Italian
Carlyle,"4000 S. 28th St., Arlington, VA",Modern American
Cashion's Eat Place,"1819 Columbia Rd., NW, Washington DC",Modern American
Chez Marc,"7607 Centreville Rd, Manassas, VA",French
Citronelle,"3000 M St., NW, Washington DC",French
Colvin Run Tavern,"8045 Leesburg Pike, Tysons, VA",Modern American
Corduroy,"1201 K St., NW, Washington DC",Modern American
The Crossing at Casey Jones,"417 Charles St, La Plata, MD",Modern American
DC Coast,"1401 K St., NW, Washington DC",Modern American
Duangrat's,"5878 Leesburg Pike, Falls Church, VA",Thai
Elysium,"116 S Alfred St, Alexandria, VA",Modern American
Equinox,"818 Connecticut Ave., NW, Washington DC",Modern American
Etrusco,"1606 20th St., NW, Washington DC",Italian
Evening Star Café,"2000 Mount Vernon Ave., Alexandria, VA",Modern American
Four & Twenty Blackbirds,"650 Zachary Taylor Hwy., Flint Hill, Va.",Modern American
Four Sisters,"6769 Wilson Blvd, Falls Church, VA",Vietnamese
Galileo,"1110 21st St., NW, Washington DC",Italian
Gerard's Place,"915 15th St., NW, Washington DC",French
Grapeseed,"4865-C Cordell Ave., Bethesda, MD",Modern American
Green Papaya,"4922 Elm St., Bethesda, MD",Vietnamese
Haandi,"1222 W. Broad St., Falls Church, VA",Inidan
Haandi-Bethesda,"4904 Fairmont Ave., Bethesda, MD",Indian
Heritage India,"2400 Wisconsin Ave., NW, Washington DC",Indian
Heritage India-2,"4931 Cordell Ave., Bethesda, MD",Inian
Hollywood East Café,"2312 Price Ave., Silver Spring, MD",Chinese
Il Pizzico,"15209 Frederick Rd., Rockville, MD",Italian
Indique,"3512-14 Connecticut Ave., NW, Washington DC",Indian
Inn at Little Washington,"309 Middle St, Washington, VA ",Modern American
I Ricchi,"1220 19th St., NW, Washington DC",Italian
Jaipur,"9401 Lee Hwy, Fairfax, VA",Indian
Jaleo,"480 Seventh St., NW, Washington DC",Spanish
Jean-Michel,"10223 Old Georgetown Rd., Bethesda, MD",French
Jerry's Seafood,"9364 Lanham Severn Rd, Lanham-Seabrook, MD",Seafood
Johnny's Half Shell,"2002 P St., NW, Washington DC",Seafood
Kaz Sushi Bistro,"1915 I St., NW, Washington DC",Japanese
Kinkead's,"2000 Pennsylvania Ave., NW, Washington DC",Seafood
La Bergerie,"218 N. Lee St., Alexandria, VA",French
La Chaumière,"2813 M St., NW, Washington DC",French
La Colline,"400 N. Capitol St., NW, Washington DC",French
La Côte d'Or Café,"6876 Lee Hwy., Arlington, VA",French
La Ferme,"7101 Brookville Rd, Chevy Chase, MD",French
L'Auberge Chez François,"332 Springvale Rd, Great Falls, VA",French
Le Gaulois,"1106 King St., Alexandria, VA",French
Les Folies Brasserie,"2552 Riva Rd, Annapolis, MD",French
Les Halles,"1201 Pennsylvania Ave., NW, Washington DC",French
Maestro,"1700 Tysons Blvd, McLean, VA",Italian
Majestic Café,"911 King St., Alexandria, VA",Modern American
Malaysia Kopitiam,"1827 M St., NW, Washington DC",Malaysian
Mannequin Pis,"18064 Georgia Ave, Olney, MD",Belgian
Marcel's,"2401 Pennsylvania Ave., NW, Washington DC",French-Belgian
Mark's Duck House,"6184-A Arlington Blvd., Falls Church, VA",Chinese
Melrose,"1201 24th St., NW, Washington DC",Modern American
Montmartre,"327 Seventh St., SE, Washington DC",French
Mykonos,"121 Congressional La., Rockville, MD",Greek
Nizam's,"523 Maple Ave W, Vienna, VA",Turkish
Obelisk,"2029 P St., NW, Washington DC",Italian
Palena,"3529 Connecticut Ave., NW, Washington DC",American
The Palm,"1225 19th St., NW, Washington DC",American
Panino,"9116 Mathis Ave, Manassas, VA",Italian
Persimmon,"7003 Wisconsin Ave., Bethesda, MD",Modern American
Pesce,"2016 P St., NW, Washington DC",Seafood
Petits Plats,"2653 Connecticut Ave., NW, Washington DC",French
Pizzeria Paradiso,"2029 P St., NW, Washington DC",Pizza
Pizzeria Paradiso,"3282 M St., NW, Washington DC",Pizza
The Prime Rib,"2020 K St., NW, Washington DC",American
Rabieng,"5892 Leesburg Pike, Falls Church, VA",Thai
Ray's the Steaks,"1725 Wilson Blvd., Arlington, VA",Steak
Ristorante Tosca,"1112 F St., NW, Washington DC",Italian
RT's Restaurant,"3804 Mount Vernon Ave., Alexandria, VA",American
Samwoo Restaurant,"1054 Rockville Pike, Rockville, MD",Korean
1789,"1226 36th St., NW, Washington DC",Modern American
Silver Swan,"412 Congressional Dr., Stevensville, Md.",Modern American
Strawberry's Bistro,"3851 Town Center Blvd, Bowie, MD",Modern American
Stone Manor,"5820 Carroll Boyer Rd, Middletown, MD",Modern American
Sushi-Ko,"2309 Wisconsin Ave., NW, Washington DC",Japanese
Sweet Basil,"4910 Fairmont Ave., Bethesda, MD",Thai
Taberna del Alabardero,"1776 I St., NW, Washington DC",Spanish
Tachibana,"6715 Lowell Ave, McLean, VA",Japanese
Tako Grill,"7756 Wisconsin Ave., Bethesda, MD",Japanese
Taste of Saigon,"410 Hungerford Dr., Rockville, MD",Vietnamese
Tavira,"8401 Connecticut Ave., Chevy Chase, MD",Portuguese
Teatro Goldoni,"1909 K St., NW, Washington DC",Italian
TenPenh,"1001 Pennsylvania Ave., NW, Washington DC",Asian
Terazzo,"1 Wisconsin Cir., Chevy Chase, MD",Italian
Tony Cheng's Seafood Restaurant,"619 H St., NW, Washington DC",Chinese
Tuscarora Mill,"203 Harrison St SE, Leesburg, VA ",Modern American
2941,"2941 Fairview Park Dr, Falls Church, VA",French-American
