Name,Location,Cuisine
Acacia,"4340 Connecticut Ave., NW, Washington, DC",Italian
Addie’s,"11120 Rockville Pike, Rockville, MD",American
Adour,"923 16th St., NW, Washington, DC",French
Againn,"1099 New York Ave., NW, Washington, DC",British
Bar Pilar,"1833 14th St., NW, Washington, DC",American/small plates
Bastille,"1201 N. Royal St., Alexandria, VA",French
Bibiana,"1100 New York Ave., NW, Washington, DC",Italian
Birch & Barley,"1337 14th St., NW, Washington, DC",American
Bistro Bis,"15 E St., NW, Washington, DC",French
Bistro Provence,"4933 Fairmont Ave., Bethesda, MD",French
Black Market Bistro,"4600 Waverly Ave, Garrett Park, MD",American
BlackSalt,"4883 MacArthur Blvd., NW, Washington, DC",Modern American/seafood
Black’s Bar and Kitchen,"7750 Woodmont Ave., Bethesda, MD",Modern American
BLT Steak,"1625 I St., NW, Washington, DC",American/steak
Blue Duck Tavern,"1201 24th St., NW, Washington, DC",American
Bourbon Steak,"2800 Pennsylvania Ave NW, Washington, DC",American/steak
Brabo by Robert Wiedmaier/Brabo Tasting Room,"1600 King St, Alexandria, VA ",Modern American/Belgian
Buck’s Fishing & Camping,"5031 Connecticut Ave., NW, Washington, DC",American
Café Atlántico,"405 Eighth St., NW, Washington, DC",Nuevo Latino
Café du Parc,"1401 Pennsylvania Ave., NW, Washington, DC",French
Cashion’s Eat Place,"1819 Columbia Rd., NW, Washington, DC",American
Cava,"9713 Traville Gateway Dr., Rockville, MD",Greek
Central,"1001 Pennsylvania Ave., NW, Washington, DC",American/French
Citronelle,"3000 M St., NW, Washington, DC",French
CityZen,"1330 Maryland Ave SW, Washington, DC",Modern American
Corduroy,"1122 Ninth St., NW, Washington, DC",Modern American
Cork,"1720 14th St., NW, Washington, DC",Wine bar/small plates
DC Coast,"1401 K St., NW, Washington, DC",American/seafood
Eola,"2020 P St., NW, Washington, DC",Modern American
Equinox,"818 Connecticut Ave., NW, Washington, DC",Modern American
Estadio,"1520 14th St., NW, Washington, DC",Spanish
Etete,"1942 Ninth St., NW, Washington, DC",Ethiopian
Ethiopic,"401 H St NE, Washington, DC",Ethiopian
Et Voila!,"5120 MacArthur Blvd NW, Washington, DC",Belgian/French
Eventide,"3165 Wilson Blvd, Arlington, VA",Modern American
Four Sisters,"8190 Strawberry Ln, Falls Church, VA",Vietnamese
Galileo III,"600 14th St., NW, Washington, DC",Italian
Grapeseed,"4865 Cordell Ave, Bethesda, MD",Modern American/wine bar
Hell Point Seafood,"12 Dock St, Annapolis, MD",Seafood
Indique Heights,"2 Wisconsin Cir, Chevy Chase, MD",Indian
Inn at Little Washington,"309 Middle St, Washington, VA ",Modern American
Jackie’s,"8081 Georgia Ave, Silver Spring, MD",American
Jaleo,"480 Seventh St. NW, Washington, DC",Spanish
J&G Steakhouse,"515 15th St NW, Washington, DC",Modern American/steak
Jesse Wong’s Asean Bistro,"8775 Centre Park Dr., Columbia,",Asian fusion
Johnny’s Half Shell,"400 North Capitol St NW, Washington, DC ",Seafood
Kinkead’s,"2000 Pennsylvania Ave., NW, Washington, DC",American/seafood
Komi,"1509 17th St., NW, Washington, DC",Modern American/Mediterranean
Kushi,"465 K St., NW, Washington, DC",Japanese/sushi
L’Auberge Chez François,"332 Springvale Rd, Great Falls, VA",French
Level,"69 West St, Annapolis, MD",Modern American/small plates
Liberty Tavern,"3195 Wilson Blvd., Arlington, VA",American
The Majestic,"911 King St., Alexandria, VA",American
Makoto,"4822 MacArthur Blvd NW, Washington, DC",Japanese/sushi
Mannequin Pis,"18064 Georgia Ave, Olney, MD",Belgian
Marcel’s,"2401 Pennsylvania Ave., NW, Washington, DC",French
Masala Art,"4441 Wisconsin Ave NW, Washington, DC",Indian
Michel,"1700 Tysons Blvd, McLean, VA",American/French
Minh’s,"2500 Wilson Blvd., Arlington, VA",Vietnamese
Minibar,"405 8th St NW, Washington, DC",Modern American
Montmartre,"327 7th St SE, Washington, DC",French
New Heights,"2317 Calvert St NW, Washington, DC",Modern American
Obelisk,"2029 P St NW, Washington, DC",Italian
Oval Room,"800 Connecticut Ave NW, Washington, DC",Modern American
Palena and Palena Cafe,"3529 Connecticut Ave NW, Washington, DC",Modern American/Italian
Passage to India,"4931 Cordell Ave., Bethesda, MD",Indian
PassionFish,"11960 Democracy Dr, Reston, VA ",Modern American/seafood
Poste,"555 8th St NW, Washington, DC ",Modern American
Present,"6678 Arlington Blvd., Falls Church, VA",Vietnamese
Proof,"775 G St., NW, Washington, DC",Modern American/wine bar
Rasika,"633 D St., NW, Washington, DC",Indian
Ray’s the Classics,"8606 Colesville Rd., Silver Spring, MD",American
Ray’s the Steaks,"2300 Wilson Blvd., Arlington, VA",Steak
Ray’s the Steaks at East River,"3905 Dix St NE, Washington, DC",American/steak
Restaurant Eve,"110 S Pitt St, Alexandria, VA",Modern American
Ris,"2275 L St NW, Washington, DC",Modern American
Sabai Sabai Simply Thai,"19847 Century Blvd, Germantown, MD",Thai
Sei,"444 7th St NW, Washington, DC",Japanese/sushi
