Name,Address
Cantina d'Italia,"1214-A 18th Street, NW, Washington, DC"
Chez Camille,"1403 L Street, NW, Washington, DC"
Chez Francois,"818 Connecticut Ave., NW, Washington, DC"
Empress Restaurant,"1018 Vermont Ave., NW, Washington, DC"
La Nicoise,"1721 Wisconsin Ave., NW, Washington, DC"
Le Provencal,"1234 20th Street, NW, north of M Street, Washington, DC"
Old Europe ,"2434 Wisconsin Ave., NW, Washington, DC"
Paul Young's,"1120 Connecticut Ave., NW, Washington, DC"
Rive Gauche,"3200 M Street, NW, Washington, DC"
Sans Souci,"726 17th St, NW, Washington, DC"
Alpine ,"4770 Lee Highway, Arlington, VA"
Bixby's Warehouse,"1211 Connecticut Ave., NW, Washington, DC"
Blair Mansion Inn,"7711 Eastern Ave., Silver Spring, MD"
Carmack's,"4469 Connecticut Ave., NW, Washington, DC"
Chez Odette,"3063 M St., NW, Georgetown, Washington, DC"
Campany Inkwell,"4109 Wilson Blvd., Arlington, VA"
Country Squire,"Leesburg Pike & Patrick Henry Dr., Seven Corners, VA"
Csikos,"3601 Connecticut Ave., NW, Washington, DC"
El Tio Pepe Restaurant ,"2809 M St NW, Washington, DC"
Evans Farm Inn,"5743 Chain Bridge Rd NW, Washington, DC"
Gourmetisserie,"1624 Wisconsin Ave NW, Washington, DC 20007"
Jacqueline's,"1921 Pennsylvania Ave., NW, Washington, DC"
Japan Inn,"1520 Connecticut Ave., NW, Washington, DC"
Jockey Club,"2100 Massachusetts Ave., NW, Washington, DC"
Le Bistro,"1827 M Street, NW, Washington, DC"
Le Consulat,"2015 Massachusetts Ave., NW, Washington, DC"
Maison des Crepes,"1305 Wisconsin Ave. N.W., Washington, DC"
Montpelier Restaurant,"1177 15th St NW, Washington, DC"
Omega Restaurant,"1858 Columbia Rd, NW, Washington, DC"
Peking (downtown),"711 13th St., NW, Washington, DC"
Peking (uptown),"5522 Connecticut Ave., NW, Washington, DC"
Potomack Restaurant,"3239 M Street, NW, Washington, DC"
Pouget's ,"3309 Connecticut Ave., NW, Washington, DC"
"""1789""","1226 36th Street, NW, Washington, DC"
Taj Mahal,"1327 Connecticut Ave., NW, Washington, DC"
Tom Roos',"2001 Wisconsin Ave., NW, Washington, DC"
Trader Vic's,"1001 16th St NW, Washington, DC 20036"
Watergate Terrace,"2650 Virginia Ave., NW, Washington, DC"
Yenching Palace,"3524 Connecticut Ave., NW, Washington, DC"
